date,range,first_row,row_density,comment
7/12/2019,16,133,15.5,
7/12/2019,15,133,27.5,
7/12/2019,14,133,23,
7/12/2019,13,133,12.5,
7/12/2019,12,133,17.5,
7/12/2019,11,133,20.5,
7/12/2019,10,133,12,
7/12/2019,9,133,16,
7/12/2019,8,133,14.5,
7/12/2019,7,133,16,
7/12/2019,6,133,12.5,
7/12/2019,5,133,16.5,
7/12/2019,4,133,25,
7/12/2019,3,133,18,
7/12/2019,2,133,16,
7/12/2019,2,137,18,
7/12/2019,3,137,21,
7/12/2019,4,137,20.5,
7/12/2019,5,137,19,
7/12/2019,6,137,18,
7/12/2019,7,137,26,
7/12/2019,8,137,17,
7/12/2019,9,137,15.5,
7/12/2019,10,137,13.5,
7/12/2019,11,137,17.5,
7/12/2019,12,137,21.5,
7/12/2019,13,137,14.5,
7/12/2019,14,137,15.5,
7/12/2019,15,137,16.5,
7/12/2019,16,137,16.5,
7/12/2019,17,137,12.5,
7/12/2019,18,137,18.5,
7/12/2019,19,137,13.5,
7/12/2019,20,137,8,
7/12/2019,21,137,20.5,
7/12/2019,22,137,20,
7/12/2019,23,137,19.5,
7/12/2019,24,137,16.5,
7/12/2019,25,137,24.5,
7/12/2019,25,141,12,
7/12/2019,24,141,15.5,
7/12/2019,23,141,16,
7/12/2019,22,141,12.5,
7/12/2019,21,141,7.5,
7/12/2019,20,141,12.5,
7/12/2019,19,141,13,
7/12/2019,18,141,11,
7/12/2019,17,141,13.5,
7/12/2019,16,141,22.5,
7/12/2019,15,141,15.5,
7/12/2019,14,141,19,
7/12/2019,13,141,12,
7/12/2019,12,141,13.5,
7/12/2019,11,141,20.5,
7/12/2019,10,141,14.5,
7/12/2019,9,141,18,
7/12/2019,8,141,15.5,
7/12/2019,7,141,14.5,
7/12/2019,6,141,14.5,
7/12/2019,5,141,10.5,
7/12/2019,4,141,20.5,
7/12/2019,3,141,19.5,
7/12/2019,2,141,17,
7/12/2019,2,145,19.5,
7/12/2019,3,145,21.5,
7/12/2019,4,145,15.5,
7/12/2019,5,145,22.5,
7/12/2019,6,145,20.5,
7/12/2019,7,145,15,
7/12/2019,8,145,14,
7/12/2019,9,145,16,
7/12/2019,10,145,18,
7/12/2019,11,145,14.5,
7/12/2019,12,145,14,
7/12/2019,13,145,23.5,
7/12/2019,14,145,16,
7/12/2019,15,145,16.5,
7/12/2019,16,145,16,
7/12/2019,17,145,12,
7/12/2019,18,145,16.5,
7/12/2019,19,145,9,
7/12/2019,20,145,15.5,
7/12/2019,21,145,15.5,
7/12/2019,22,145,24.5,
7/12/2019,23,145,20,
7/12/2019,24,145,11,
7/12/2019,25,145,16,
7/12/2019,25,149,8,
7/12/2019,24,149,12,
7/12/2019,23,149,16,
7/12/2019,22,149,18,
7/12/2019,21,149,26.5,
7/12/2019,20,149,13,
7/12/2019,19,149,10,
7/12/2019,18,149,16,
7/12/2019,17,149,18.5,
7/12/2019,16,149,18.5,
7/12/2019,15,149,20.5,
7/12/2019,14,149,21.5,
7/12/2019,13,149,15,
7/12/2019,12,149,14,
7/12/2019,11,149,21.5,
7/12/2019,10,149,17,
7/12/2019,9,149,11,
7/12/2019,8,149,15.5,
7/12/2019,7,149,17.5,
7/12/2019,6,149,21.5,
7/12/2019,5,149,21.5,
7/12/2019,4,149,21,
7/12/2019,3,149,18,
7/12/2019,2,149,23,
7/12/2019,2,153,19.5,
7/12/2019,3,153,18.5,
7/12/2019,4,153,18,
7/12/2019,5,153,17,
7/12/2019,6,153,14.5,
7/12/2019,7,153,17.5,
7/12/2019,8,153,18.5,
7/12/2019,9,153,20,
7/12/2019,10,153,15.5,
7/12/2019,11,153,24.5,
7/12/2019,12,153,15,
7/12/2019,13,153,21,
7/12/2019,14,153,26.5,
7/12/2019,15,153,24,
